,date_time,waste_type,robot_name
57,2020-05-10 12:11:09.375881,HDPE,R20
58,2020-05-10 12:11:19.375881,PET,R23
59,2020-05-10 12:12:14.375881,plastic_wrappers,R2
60,2020-05-10 12:12:41.375881,plastic_wrappers,R2
61,2020-05-10 12:12:57.375881,Paper,R5
62,2020-05-10 12:13:21.375881,Cardboard,R11
63,2020-05-10 12:14:11.375881,PVC,R21
64,2020-05-10 12:15:08.375881,Aluminium_cans,R4
65,2020-05-10 12:15:53.375881,HDPE,R24
66,2020-05-10 12:16:17.375881,Paper,R5
67,2020-05-10 12:17:02.375881,PET,R23
68,2020-05-10 12:17:44.375881,Aluminium_cans,R1
69,2020-05-10 12:18:00.375881,Aluminium_cans,R8
70,2020-05-10 12:18:37.375881,HDPE,R13
71,2020-05-10 12:19:25.375881,Cardboard,R3
72,2020-05-10 12:20:19.375881,Paper,R5
73,2020-05-10 12:20:26.375881,PET,R19
74,2020-05-10 12:20:41.375881,Cardboard,R11
75,2020-05-10 12:20:47.375881,Cardboard,R3
76,2020-05-10 12:20:54.375881,plastic_wrappers,R2
77,2020-05-10 12:21:38.375881,PVC,R17
78,2020-05-10 12:21:41.375881,HDPE,R13
79,2020-05-10 12:21:47.375881,Cardboard,R11
80,2020-05-10 12:21:55.375881,PET,R23
81,2020-05-10 12:22:25.375881,Aluminium_cans,R1
82,2020-05-10 12:22:41.375881,PVC,R14
83,2020-05-10 12:23:09.375881,Cardboard,R11
84,2020-05-10 12:23:57.375881,PET,R19
85,2020-05-10 12:24:20.375881,LDPE,R22
86,2020-05-10 12:24:22.375881,Cardboard,R3
87,2020-05-10 12:24:42.375881,HDPE,R24
88,2020-05-10 12:24:44.375881,Aluminium_cans,R8
89,2020-05-10 12:25:30.375881,plastic_wrappers,R6
90,2020-05-10 12:26:03.375881,plastic_wrappers,R6
91,2020-05-10 12:26:22.375881,PET,R15
92,2020-05-10 12:27:10.375881,PET,R15
93,2020-05-10 12:27:13.375881,PVC,R17
94,2020-05-10 12:27:20.375881,HDPE,R20
95,2020-05-10 12:28:18.375881,Cardboard,R11
96,2020-05-10 12:28:19.375881,LDPE,R22
97,2020-05-10 12:28:46.375881,plastic_wrappers,R10
98,2020-05-10 12:29:16.375881,LDPE,R22
99,2020-05-10 12:29:50.375881,PET,R19
100,2020-05-10 12:30:27.375881,Cardboard,R3
101,2020-05-10 12:30:31.375881,HDPE,R24
102,2020-05-10 12:31:17.375881,Aluminium_cans,R8
103,2020-05-10 12:31:43.375881,plastic_wrappers,R6
104,2020-05-10 12:32:28.375881,LDPE,R16
105,2020-05-10 12:32:53.375881,Aluminium_cans,R8
106,2020-05-10 12:33:33.375881,PET,R15
107,2020-05-10 12:34:16.375881,Cardboard,R3
108,2020-05-10 12:34:55.375881,plastic_wrappers,R6
109,2020-05-10 12:35:51.375881,PVC,R14
110,2020-05-10 12:35:58.375881,Paper,R5
111,2020-05-10 12:36:33.375881,Aluminium_cans,R8
112,2020-05-10 12:36:40.375881,LDPE,R16
113,2020-05-10 12:37:01.375881,LDPE,R22
114,2020-05-10 12:37:53.375881,Paper,R5
115,2020-05-10 12:38:38.375881,PVC,R21
116,2020-05-10 12:38:51.375881,plastic_wrappers,R6
117,2020-05-10 12:39:23.375881,Paper,R5
118,2020-05-10 12:39:40.375881,LDPE,R18
119,2020-05-10 12:39:52.375881,Aluminium_cans,R1
120,2020-05-10 12:40:37.375881,Paper,R5
121,2020-05-10 12:41:12.375881,LDPE,R18
122,2020-05-10 12:42:08.375881,Aluminium_cans,R1
123,2020-05-10 12:42:21.375881,PET,R15
124,2020-05-10 12:42:56.375881,Aluminium_cans,R8
125,2020-05-10 12:43:21.375881,Cardboard,R11
126,2020-05-10 12:44:17.375881,LDPE,R16
127,2020-05-10 12:44:53.375881,PVC,R14
128,2020-05-10 12:45:42.375881,LDPE,R18
129,2020-05-10 12:46:15.375881,Aluminium_cans,R1
130,2020-05-10 12:47:12.375881,Cardboard,R11
131,2020-05-10 12:47:25.375881,Cardboard,R3
132,2020-05-10 12:48:02.375881,PVC,R14
133,2020-05-10 12:48:45.375881,Aluminium_cans,R1
134,2020-05-10 12:49:15.375881,Aluminium_cans,R4
135,2020-05-10 12:50:08.375881,Cardboard,R7
136,2020-05-10 12:50:57.375881,PVC,R14
137,2020-05-10 12:51:43.375881,Paper,R5
138,2020-05-10 12:52:05.375881,PVC,R21
139,2020-05-10 12:52:41.375881,Cardboard,R7
140,2020-05-10 12:53:18.375881,plastic_wrappers,R2
141,2020-05-10 12:54:06.375881,PET,R15
142,2020-05-10 12:54:29.375881,PET,R19
143,2020-05-10 12:54:50.375881,Paper,R5
144,2020-05-10 12:55:25.375881,Aluminium_cans,R8
145,2020-05-10 12:55:57.375881,PVC,R14
146,2020-05-10 12:56:36.375881,PVC,R14
147,2020-05-10 12:57:08.375881,Aluminium_cans,R8
148,2020-05-10 12:57:52.375881,PET,R23
149,2020-05-10 12:58:05.375881,plastic_wrappers,R10
150,2020-05-10 12:59:02.375881,PVC,R17
151,2020-05-10 12:59:55.375881,Paper,R5
152,2020-05-10 13:00:04.375881,HDPE,R13
153,2020-05-10 13:00:21.375881,Cardboard,R7
154,2020-05-10 13:00:50.375881,PVC,R17
155,2020-05-10 13:01:39.375881,HDPE,R13
156,2020-05-10 13:01:45.375881,Cardboard,R11
157,2020-05-10 13:01:55.375881,LDPE,R22
158,2020-05-10 13:02:23.375881,LDPE,R18
159,2020-05-10 13:02:25.375881,Cardboard,R7
160,2020-05-10 13:02:49.375881,plastic_wrappers,R6
161,2020-05-10 13:03:04.375881,Paper,R5
162,2020-05-10 13:04:01.375881,PET,R19
163,2020-05-10 13:04:54.375881,PET,R23
164,2020-05-10 13:05:45.375881,plastic_wrappers,R2
165,2020-05-10 13:05:48.375881,Aluminium_cans,R8
166,2020-05-10 13:06:08.375881,HDPE,R13
167,2020-05-10 13:06:27.375881,plastic_wrappers,R6
168,2020-05-10 13:07:26.375881,HDPE,R24
169,2020-05-10 13:08:10.375881,LDPE,R16
170,2020-05-10 13:08:21.375881,Paper,R5
171,2020-05-10 13:09:05.375881,HDPE,R13
172,2020-05-10 13:09:34.375881,PVC,R17
173,2020-05-10 13:09:53.375881,Aluminium_cans,R8
174,2020-05-10 13:10:19.375881,PVC,R21
175,2020-05-10 13:10:57.375881,PET,R23
176,2020-05-10 13:11:43.375881,Aluminium_cans,R1
177,2020-05-10 13:11:55.375881,Cardboard,R7
178,2020-05-10 13:12:53.375881,Paper,R5
179,2020-05-10 13:13:42.375881,PET,R15
180,2020-05-10 13:14:04.375881,plastic_wrappers,R6
181,2020-05-10 13:14:47.375881,LDPE,R16
182,2020-05-10 13:14:57.375881,PET,R19
183,2020-05-10 13:15:03.375881,Cardboard,R3
184,2020-05-10 13:15:10.375881,Cardboard,R3
185,2020-05-10 13:15:38.375881,HDPE,R24
186,2020-05-10 13:15:48.375881,LDPE,R22
187,2020-05-10 13:16:28.375881,Cardboard,R3
188,2020-05-10 13:16:39.375881,Paper,R5
189,2020-05-10 13:17:06.375881,PVC,R14
190,2020-05-10 13:17:39.375881,plastic_wrappers,R2
191,2020-05-10 13:17:55.375881,HDPE,R20
192,2020-05-10 13:18:08.375881,HDPE,R13
193,2020-05-10 13:18:14.375881,Aluminium_cans,R4
194,2020-05-10 13:18:29.375881,PVC,R21
195,2020-05-10 13:19:16.375881,Cardboard,R11
196,2020-05-10 13:19:51.375881,plastic_wrappers,R6
197,2020-05-10 13:19:59.375881,Cardboard,R7
198,2020-05-10 13:20:21.375881,Cardboard,R3
199,2020-05-10 13:21:00.375881,PVC,R17
200,2020-05-10 13:21:47.375881,Cardboard,R7
201,2020-05-10 13:21:57.375881,Aluminium_cans,R1
202,2020-05-10 13:22:11.375881,Cardboard,R11
203,2020-05-10 13:22:48.375881,Aluminium_cans,R8
204,2020-05-10 13:23:11.375881,LDPE,R22
205,2020-05-10 13:23:46.375881,PET,R15
206,2020-05-10 13:24:02.375881,PVC,R21
207,2020-05-10 13:24:56.375881,Cardboard,R3
208,2020-05-10 13:25:51.375881,HDPE,R20
209,2020-05-10 13:26:26.375881,Cardboard,R3
210,2020-05-10 13:26:31.375881,plastic_wrappers,R6
211,2020-05-10 13:27:11.375881,HDPE,R24
212,2020-05-10 13:27:17.375881,PET,R23
213,2020-05-10 13:27:49.375881,LDPE,R22
214,2020-05-10 13:28:47.375881,PET,R23
215,2020-05-10 13:29:22.375881,PVC,R17
216,2020-05-10 13:30:00.375881,HDPE,R13
217,2020-05-10 13:30:45.375881,plastic_wrappers,R2
218,2020-05-10 13:30:48.375881,PET,R23
219,2020-05-10 13:31:28.375881,LDPE,R18
220,2020-05-10 13:32:10.375881,Paper,R5
221,2020-05-10 13:32:48.375881,Paper,R5
222,2020-05-10 13:33:22.375881,plastic_wrappers,R10
223,2020-05-10 13:34:12.375881,PVC,R17
224,2020-05-10 13:34:26.375881,HDPE,R24
225,2020-05-10 13:35:20.375881,Paper,R5
226,2020-05-10 13:35:41.375881,Aluminium_cans,R4
227,2020-05-10 13:36:07.375881,PET,R15
228,2020-05-10 13:36:57.375881,PET,R15
229,2020-05-10 13:37:03.375881,HDPE,R13
230,2020-05-10 13:37:18.375881,Aluminium_cans,R4
231,2020-05-10 13:37:57.375881,PET,R19
232,2020-05-10 13:38:12.375881,PVC,R14
233,2020-05-10 13:39:08.375881,PVC,R21
234,2020-05-10 13:39:24.375881,plastic_wrappers,R2
235,2020-05-10 13:40:21.375881,Aluminium_cans,R1
236,2020-05-10 13:40:47.375881,Cardboard,R11
237,2020-05-10 13:40:52.375881,LDPE,R16
238,2020-05-10 13:41:35.375881,Cardboard,R11
239,2020-05-10 13:42:33.375881,Paper,R5
240,2020-05-10 13:42:57.375881,plastic_wrappers,R10
241,2020-05-10 13:43:19.375881,plastic_wrappers,R6
242,2020-05-10 13:43:45.375881,plastic_wrappers,R10
243,2020-05-10 13:44:03.375881,LDPE,R22
244,2020-05-10 13:44:05.375881,LDPE,R22
245,2020-05-10 13:44:22.375881,LDPE,R18
246,2020-05-10 13:44:54.375881,PET,R23
247,2020-05-10 13:45:48.375881,Cardboard,R11
248,2020-05-10 13:46:29.375881,PET,R19
249,2020-05-10 13:46:42.375881,LDPE,R16
250,2020-05-10 13:46:44.375881,PVC,R14
251,2020-05-10 13:47:15.375881,PVC,R21
252,2020-05-10 13:47:57.375881,Paper,R5
253,2020-05-10 13:48:35.375881,Aluminium_cans,R8
254,2020-05-10 13:48:57.375881,Aluminium_cans,R4
255,2020-05-10 13:49:01.375881,PET,R23
256,2020-05-10 13:49:52.375881,LDPE,R22
257,2020-05-10 13:50:08.375881,Aluminium_cans,R8
258,2020-05-10 13:51:05.375881,plastic_wrappers,R6
259,2020-05-10 13:51:42.375881,HDPE,R13
260,2020-05-10 13:52:31.375881,HDPE,R24
261,2020-05-10 13:52:35.375881,Cardboard,R11
262,2020-05-10 13:53:28.375881,Cardboard,R3
263,2020-05-10 13:54:22.375881,PVC,R21
264,2020-05-10 13:55:21.375881,LDPE,R16
265,2020-05-10 13:55:49.375881,Cardboard,R11
266,2020-05-10 13:56:22.375881,plastic_wrappers,R10
267,2020-05-10 13:57:20.375881,Cardboard,R3
268,2020-05-10 13:58:04.375881,Paper,R5
269,2020-05-10 13:58:54.375881,PVC,R17
270,2020-05-10 13:59:19.375881,Paper,R5
271,2020-05-10 13:59:30.375881,plastic_wrappers,R6
272,2020-05-10 13:59:42.375881,HDPE,R13
273,2020-05-10 13:59:59.375881,Cardboard,R11
274,2020-05-10 14:00:25.375881,Cardboard,R3
275,2020-05-10 14:01:24.375881,Paper,R5
276,2020-05-10 14:02:20.375881,Paper,R5
277,2020-05-10 14:02:41.375881,PET,R15
278,2020-05-10 14:03:02.375881,HDPE,R20
279,2020-05-10 14:03:18.375881,Paper,R5
280,2020-05-10 14:04:17.375881,Cardboard,R3
281,2020-05-10 14:04:28.375881,HDPE,R13
282,2020-05-10 14:04:46.375881,plastic_wrappers,R2
283,2020-05-10 14:05:07.375881,Aluminium_cans,R1
284,2020-05-10 14:05:21.375881,Aluminium_cans,R4
285,2020-05-10 14:06:09.375881,PET,R19
286,2020-05-10 14:06:15.375881,LDPE,R22
287,2020-05-10 14:07:14.375881,HDPE,R20
288,2020-05-10 14:07:56.375881,PET,R15
289,2020-05-10 14:08:48.375881,HDPE,R20
290,2020-05-10 14:08:52.375881,HDPE,R24
291,2020-05-10 14:09:12.375881,Paper,R5
292,2020-05-10 14:10:00.375881,Cardboard,R3
293,2020-05-10 14:10:06.375881,PVC,R17
294,2020-05-10 14:10:37.375881,LDPE,R22
295,2020-05-10 14:10:55.375881,Paper,R5
296,2020-05-10 14:11:19.375881,Cardboard,R3
297,2020-05-10 14:11:44.375881,HDPE,R20
298,2020-05-10 14:11:47.375881,Aluminium_cans,R8
299,2020-05-10 14:12:44.375881,Aluminium_cans,R8
300,2020-05-10 14:13:04.375881,LDPE,R18
301,2020-05-10 14:13:39.375881,PVC,R14
302,2020-05-10 14:14:30.375881,Cardboard,R7
303,2020-05-10 14:14:52.375881,Aluminium_cans,R8
304,2020-05-10 14:15:08.375881,Aluminium_cans,R8
305,2020-05-10 14:15:11.375881,PET,R19
306,2020-05-10 14:16:01.375881,PET,R19
307,2020-05-10 14:16:27.375881,Aluminium_cans,R8
308,2020-05-10 14:16:38.375881,plastic_wrappers,R6
309,2020-05-10 14:17:24.375881,PET,R15
310,2020-05-10 14:17:42.375881,PET,R19
311,2020-05-10 14:17:51.375881,PVC,R21
312,2020-05-10 14:18:34.375881,Aluminium_cans,R4
313,2020-05-10 14:19:28.375881,PET,R23
314,2020-05-10 14:20:23.375881,PVC,R14
315,2020-05-10 14:21:16.375881,PVC,R17
316,2020-05-10 14:21:59.375881,LDPE,R22
317,2020-05-10 14:22:09.375881,plastic_wrappers,R2
318,2020-05-10 14:23:01.375881,LDPE,R22
319,2020-05-10 14:23:49.375881,HDPE,R13
320,2020-05-10 14:24:36.375881,Paper,R5
321,2020-05-10 14:25:04.375881,PET,R23
322,2020-05-10 14:25:10.375881,LDPE,R18
323,2020-05-10 14:25:33.375881,plastic_wrappers,R2
324,2020-05-10 14:25:54.375881,Cardboard,R3
325,2020-05-10 14:26:24.375881,PET,R19
326,2020-05-10 14:26:36.375881,PET,R15
327,2020-05-10 14:27:15.375881,Cardboard,R11
328,2020-05-10 14:28:03.375881,Paper,R5
329,2020-05-10 14:28:10.375881,PVC,R21
330,2020-05-10 14:29:00.375881,PET,R23
331,2020-05-10 14:29:34.375881,Cardboard,R11
332,2020-05-10 14:30:33.375881,PET,R23
333,2020-05-10 14:30:43.375881,LDPE,R16
334,2020-05-11 11:43:10.375881,PET,R23
335,2020-05-11 11:43:53.375881,PET,R15
336,2020-05-11 11:43:56.375881,Paper,R5
337,2020-05-11 11:44:40.375881,PVC,R21
338,2020-05-11 11:45:26.375881,Cardboard,R7
339,2020-05-11 11:45:40.375881,HDPE,R20
340,2020-05-11 11:46:26.375881,plastic_wrappers,R2
341,2020-05-11 11:47:22.375881,Cardboard,R7
342,2020-05-11 11:48:14.375881,PVC,R14
343,2020-05-11 11:48:53.375881,PVC,R14
344,2020-05-11 11:49:19.375881,plastic_wrappers,R2
345,2020-05-11 11:49:50.375881,Paper,R5
346,2020-05-11 11:50:29.375881,HDPE,R20
347,2020-05-11 11:50:37.375881,LDPE,R18
348,2020-05-11 11:51:33.375881,Paper,R5
349,2020-05-11 11:51:50.375881,Paper,R5
350,2020-05-11 11:52:37.375881,LDPE,R16
351,2020-05-11 11:52:48.375881,Paper,R5
352,2020-05-11 11:52:59.375881,LDPE,R16
353,2020-05-11 11:53:31.375881,LDPE,R16
354,2020-05-11 11:54:10.375881,Cardboard,R11
355,2020-05-11 11:55:01.375881,Aluminium_cans,R1
356,2020-05-11 11:55:58.375881,Cardboard,R11
357,2020-05-11 11:56:37.375881,Cardboard,R7
358,2020-05-11 11:57:07.375881,PVC,R21
359,2020-05-11 11:57:47.375881,Aluminium_cans,R8
360,2020-05-11 11:58:39.375881,LDPE,R22
361,2020-05-11 11:59:00.375881,LDPE,R16
362,2020-05-11 11:59:29.375881,Cardboard,R7
363,2020-05-11 11:59:44.375881,LDPE,R22
364,2020-05-11 11:59:53.375881,PVC,R14
365,2020-05-11 12:00:31.375881,Paper,R5
366,2020-05-11 12:01:00.375881,plastic_wrappers,R6
367,2020-05-11 12:01:35.375881,PET,R23
368,2020-05-11 12:02:16.375881,Aluminium_cans,R1
369,2020-05-11 12:02:27.375881,plastic_wrappers,R10
370,2020-05-11 12:03:05.375881,Aluminium_cans,R1
371,2020-05-11 12:03:50.375881,Cardboard,R11
372,2020-05-11 12:04:37.375881,Paper,R5
373,2020-05-11 12:04:59.375881,Aluminium_cans,R8
374,2020-05-11 12:05:08.375881,PVC,R21
375,2020-05-11 12:05:26.375881,PET,R15
376,2020-05-11 12:06:16.375881,Paper,R5
377,2020-05-11 12:06:37.375881,LDPE,R18
378,2020-05-11 12:07:03.375881,HDPE,R24
379,2020-05-11 12:08:01.375881,LDPE,R22
380,2020-05-11 12:09:00.375881,HDPE,R20
381,2020-05-11 12:09:26.375881,Paper,R5
382,2020-05-11 12:09:45.375881,plastic_wrappers,R2
383,2020-05-11 12:10:11.375881,Cardboard,R3
384,2020-05-11 12:10:58.375881,Aluminium_cans,R8
385,2020-05-11 12:11:24.375881,HDPE,R24
386,2020-05-11 12:11:33.375881,PET,R23
387,2020-05-11 12:12:17.375881,Paper,R5
388,2020-05-11 12:13:00.375881,plastic_wrappers,R10
389,2020-05-11 12:13:33.375881,Paper,R5
390,2020-05-11 12:13:58.375881,Cardboard,R3
391,2020-05-11 12:14:12.375881,Cardboard,R7
392,2020-05-11 12:14:32.375881,HDPE,R13
393,2020-05-11 12:15:08.375881,Cardboard,R3
394,2020-05-11 12:16:06.375881,Cardboard,R11
395,2020-05-11 12:16:27.375881,Aluminium_cans,R1
396,2020-05-11 12:17:26.375881,HDPE,R20
397,2020-05-11 12:18:23.375881,PVC,R21
398,2020-05-11 12:18:48.375881,HDPE,R24
399,2020-05-11 12:19:16.375881,HDPE,R13
400,2020-05-11 12:19:25.375881,Aluminium_cans,R8
401,2020-05-11 12:20:01.375881,Aluminium_cans,R1
402,2020-05-11 12:20:32.375881,plastic_wrappers,R10
403,2020-05-11 12:20:58.375881,Cardboard,R11
404,2020-05-11 12:21:49.375881,Aluminium_cans,R4
405,2020-05-11 12:22:00.375881,Paper,R5
406,2020-05-11 12:22:28.375881,Paper,R5
407,2020-05-11 12:22:31.375881,PVC,R14
408,2020-05-11 12:23:17.375881,LDPE,R18
409,2020-05-11 12:23:50.375881,LDPE,R22
410,2020-05-11 12:23:58.375881,Cardboard,R11
411,2020-05-11 12:24:36.375881,Cardboard,R11
412,2020-05-11 12:25:06.375881,Aluminium_cans,R4
413,2020-05-11 12:25:30.375881,Aluminium_cans,R1
414,2020-05-11 12:25:58.375881,Aluminium_cans,R4
415,2020-05-11 12:26:06.375881,Cardboard,R7
416,2020-05-11 12:26:14.375881,PET,R23
417,2020-05-11 12:26:54.375881,Aluminium_cans,R1
418,2020-05-11 12:27:44.375881,LDPE,R16
419,2020-05-11 12:28:07.375881,LDPE,R22
420,2020-05-11 12:28:30.375881,HDPE,R24
421,2020-05-11 12:29:15.375881,LDPE,R22
422,2020-05-11 12:29:41.375881,plastic_wrappers,R2
423,2020-05-11 12:29:57.375881,PVC,R14
424,2020-05-11 12:30:39.375881,Paper,R5
425,2020-05-11 12:31:33.375881,PET,R19
426,2020-05-11 12:31:46.375881,LDPE,R16
427,2020-05-11 12:32:06.375881,plastic_wrappers,R6
428,2020-05-11 12:32:18.375881,plastic_wrappers,R10
429,2020-05-11 12:33:04.375881,plastic_wrappers,R10
430,2020-05-11 12:33:35.375881,HDPE,R13
431,2020-05-11 12:33:48.375881,PET,R15
432,2020-05-11 12:34:39.375881,Aluminium_cans,R1
433,2020-05-11 12:35:26.375881,Cardboard,R7
434,2020-05-11 12:36:05.375881,LDPE,R16
435,2020-05-11 12:36:30.375881,plastic_wrappers,R6
436,2020-05-11 12:37:15.375881,LDPE,R22
437,2020-05-11 12:38:12.375881,Aluminium_cans,R4
438,2020-05-11 12:38:54.375881,Paper,R5
439,2020-05-11 12:39:25.375881,LDPE,R22
440,2020-05-11 12:39:35.375881,Cardboard,R7
441,2020-05-11 12:40:09.375881,Cardboard,R3
442,2020-05-11 12:40:50.375881,Aluminium_cans,R1
443,2020-05-11 12:41:49.375881,PVC,R21
444,2020-05-11 12:42:01.375881,Aluminium_cans,R4
445,2020-05-11 12:42:25.375881,LDPE,R22
446,2020-05-11 12:43:21.375881,LDPE,R18
447,2020-05-11 12:43:49.375881,LDPE,R16
448,2020-05-11 12:44:37.375881,HDPE,R13
449,2020-05-11 12:44:52.375881,Cardboard,R7
450,2020-05-11 12:45:15.375881,PVC,R17
451,2020-05-11 12:45:45.375881,Cardboard,R7
452,2020-05-11 12:45:56.375881,Aluminium_cans,R8
453,2020-05-11 12:46:00.375881,Cardboard,R11
454,2020-05-11 12:46:51.375881,Aluminium_cans,R4
455,2020-05-11 12:47:49.375881,plastic_wrappers,R10
456,2020-05-11 12:48:39.375881,LDPE,R16
457,2020-05-11 12:48:53.375881,PET,R15
458,2020-05-11 12:49:47.375881,PVC,R17
459,2020-05-11 12:50:34.375881,Paper,R5
460,2020-05-11 12:51:30.375881,Aluminium_cans,R4
461,2020-05-11 12:51:55.375881,LDPE,R22
462,2020-05-11 12:51:56.375881,PVC,R14
463,2020-05-11 12:51:57.375881,HDPE,R13
464,2020-05-11 12:52:08.375881,plastic_wrappers,R10
465,2020-05-11 12:52:31.375881,HDPE,R13
466,2020-05-11 12:52:59.375881,plastic_wrappers,R2
467,2020-05-11 12:53:41.375881,PVC,R17
468,2020-05-11 12:54:39.375881,Cardboard,R3
469,2020-05-11 12:55:12.375881,HDPE,R20
470,2020-05-11 12:55:23.375881,Aluminium_cans,R1
471,2020-05-11 12:55:46.375881,PET,R23
472,2020-05-11 12:55:57.375881,PVC,R14
473,2020-05-11 12:56:07.375881,Aluminium_cans,R8
474,2020-05-11 12:56:15.375881,LDPE,R22
475,2020-05-11 12:56:19.375881,LDPE,R16
476,2020-05-11 12:56:25.375881,Cardboard,R7
477,2020-05-11 12:57:13.375881,Cardboard,R7
478,2020-05-11 12:57:17.375881,Aluminium_cans,R1
479,2020-05-11 12:57:31.375881,LDPE,R18
480,2020-05-11 12:57:59.375881,LDPE,R18
481,2020-05-11 12:58:35.375881,Aluminium_cans,R8
482,2020-05-11 12:59:27.375881,PVC,R21
483,2020-05-11 13:00:19.375881,LDPE,R18
484,2020-05-11 13:01:02.375881,PVC,R17
485,2020-05-11 13:01:40.375881,PVC,R17
486,2020-05-11 13:01:50.375881,Cardboard,R11
487,2020-05-11 13:02:34.375881,HDPE,R24
488,2020-05-11 13:02:55.375881,LDPE,R16
489,2020-05-11 13:03:21.375881,LDPE,R22
490,2020-05-11 13:03:33.375881,Paper,R5
491,2020-05-11 13:04:17.375881,PET,R15
492,2020-05-11 13:04:56.375881,Aluminium_cans,R8
493,2020-05-11 13:05:05.375881,PET,R19
494,2020-05-11 13:05:59.375881,Paper,R5
495,2020-05-11 13:06:18.375881,Aluminium_cans,R8
496,2020-05-11 13:06:50.375881,HDPE,R20
497,2020-05-11 13:07:37.375881,PET,R15
498,2020-05-11 13:08:03.375881,plastic_wrappers,R6
499,2020-05-11 13:08:55.375881,LDPE,R16
500,2020-05-11 13:09:24.375881,Aluminium_cans,R8
501,2020-05-11 13:09:49.375881,LDPE,R18
502,2020-05-11 13:10:24.375881,Paper,R5
503,2020-05-11 13:10:46.375881,Paper,R5
504,2020-05-11 13:11:43.375881,Cardboard,R11
505,2020-05-11 13:12:12.375881,PET,R15
506,2020-05-11 13:13:07.375881,Paper,R5
507,2020-05-11 13:13:31.375881,Cardboard,R3
508,2020-05-11 13:14:25.375881,Cardboard,R3
509,2020-05-11 13:15:14.375881,LDPE,R22
510,2020-05-11 13:16:01.375881,plastic_wrappers,R2
511,2020-05-11 13:16:24.375881,plastic_wrappers,R10
512,2020-05-11 13:17:19.375881,LDPE,R22
513,2020-05-11 13:17:20.375881,PVC,R17
514,2020-05-11 13:17:22.375881,PVC,R14
515,2020-05-11 13:17:36.375881,LDPE,R16
516,2020-05-11 13:17:55.375881,Cardboard,R11
517,2020-05-11 13:18:42.375881,PET,R23
518,2020-05-11 13:19:31.375881,PVC,R21
519,2020-05-11 13:20:23.375881,Cardboard,R11
520,2020-05-11 13:20:40.375881,plastic_wrappers,R2
521,2020-05-11 13:21:33.375881,PET,R23
522,2020-05-11 13:21:58.375881,Aluminium_cans,R4
523,2020-05-11 13:22:40.375881,Aluminium_cans,R8
